Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2021-07,Esercizi alberghieri,334066,118106
Arrivi,2021-07,Esercizi extralberghieri,115486,91320
Arrivi,2021-08,Esercizi alberghieri,410487,113342
Arrivi,2021-08,Esercizi extralberghieri,148589,97645
Arrivi,2021-09,Esercizi alberghieri,172810,116540
Arrivi,2021-09,Esercizi extralberghieri,53202,73856
Arrivi,2021-10,Esercizi alberghieri,94068,59510
Arrivi,2021-10,Esercizi extralberghieri,31185,29313
Arrivi,2021-11,Esercizi alberghieri,52634,12379
Arrivi,2021-11,Esercizi extralberghieri,13283,3557
Arrivi,2021-12,Esercizi alberghieri,244163,49902
Arrivi,2021-12,Esercizi extralberghieri,50659,8938
Presenze,2021-01,Esercizi alberghieri,30522,9568
Presenze,2021-01,Esercizi extralberghieri,30022,3409
Presenze,2021-02,Esercizi alberghieri,39570,6760
Presenze,2021-02,Esercizi extralberghieri,30867,3244
Presenze,2021-03,Esercizi alberghieri,31678,8005
Presenze,2021-03,Esercizi extralberghieri,31289,3928
Presenze,2021-04,Esercizi alberghieri,30327,6390
Presenze,2021-04,Esercizi extralberghieri,32186,3773
Presenze,2021-05,Esercizi alberghieri,112546,55810
Presenze,2021-05,Esercizi extralberghieri,70633,76096
Presenze,2021-06,Esercizi alberghieri,428934,191713
Presenze,2021-06,Esercizi extralberghieri,204724,188223
Presenze,2021-07,Esercizi alberghieri,1515825,386811
Presenze,2021-07,Esercizi extralberghieri,546511,431909
Presenze,2021-08,Esercizi alberghieri,2080244,410185
Presenze,2021-08,Esercizi extralberghieri,826105,529573
Presenze,2021-09,Esercizi alberghieri,613185,411169
Presenze,2021-09,Esercizi extralberghieri,229591,333119
Presenze,2021-10,Esercizi alberghieri,195572,213127
Presenze,2021-10,Esercizi extralberghieri,94509,126186
Presenze,2021-11,Esercizi alberghieri,102524,43620
Presenze,2021-11,Esercizi extralberghieri,54651,19374
Presenze,2021-12,Esercizi alberghieri,704486,231148
Presenze,2021-12,Esercizi extralberghieri,171777,45461
Arrivi,2022-01,Esercizi alberghieri,227564,66306
Arrivi,2022-01,Esercizi extralberghieri,37951,11549
